id,name,category,breadcrumbs,short_description,description,price,best_for,review_score,review_count,image_url,url
64465,"NOW Foods, Probiotic-10, 100 Billion, 30 Veg Capsules",Gut Health,Categories > Supplements > Gut Health > Probiotics,"10 Probiotic Strains | Restorative Care | Dairy, Soy, & Gluten Free | For Temporary Disruptions to Intestinal Balance | Kosher | Non-GMO | A Dietary Supplement | Vegetarian/Vegan | Strain Verified | Digestive | Family Owned Since 1968 | Quality GMP Assured","• 10 Probiotic Strains
• Restorative Care
• Dairy, Soy, & Gluten Free
• For Temporary Disruptions to Intestinal Balance
• Kosher
• Non-GMO
• A Dietary Supplement
• Vegetarian/Vegan
• Strain Verified
• Digestive
• Family Owned Since 1968
• Quality GMP Assured

Now® Probiotic-10™ offers a balanced spectrum of live organisms consisting of acid-resistant probiotic bacterial strains that are known to naturally colonize the human GI Tract. Probiotic bacteria are critical for healthy digestion, help maintain the integrity of the intestinal lining, support proper intestinal motility and participate in the detoxification process. This potent Probiotic-10™ formula delivers 100 billion live organisms to help restore healthy flora following occasional but temporary disruptions to intestinal balance.

This product is formulated to deliver a potency of 100 Billion CFU through the best by date.

This probiotic strains in this product have been identity-verified using DNA-fingerprinting technology.

Suggested use
Take 1 capsule daily between meals or on an empty stomach.

Warning
Keep refrigerated to maintain potency. Consult physician if pregnant/nursing, taking medication (especially immune-suppressing drugs), or have a medical condition (especially if immune system is compromised). Keep out of reach of children.

Other Ingredients
Hypromellose (cellulose capsule), microcrystalline cellulose, FOS (fructooligosaccharides), ascorbyl palmitate and silicon dioxide. Not manufactured with wheat, gluten, soy, milk, egg, fish, shellfish or tree nut ingredients. Produced in a GMP facility that processes other ingredients containing these allergens.",2840.88,Gut Health,4.7,4334,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now02931/g/27.jpg",https://in.iherb.com/pr/now-foods-probiotic-10-100-billion-30-veg-capsules/64465
95327,"California Gold Nutrition, Probiotics with Lactobacillus acidophilus, Bifidobacterium lactis, Lactobacillus plantarum, and Lactobacillus casei, 10 Strain Blend, 25 Billion CFU, 60 Veggie Capsules",Probiotics,Categories > Supplements > Gut Health > Probiotics > Lactobacillus,"California Gold Nutrition Probiotics | 10 Strain Blend, 25 Billion CFU | Supports Digestive and Immune Health* | Suitable for Vegetarians and Vegans | Formulated without Gluten, GMOs, or Soy | Produced in a GMP Facility","• California Gold Nutrition Probiotics
• 10 Strain Blend, 25 Billion CFU
• Supports Digestive and Immune Health*
• Suitable for Vegetarians and Vegans
• Formulated without Gluten, GMOs, or Soy
• Produced in a GMP Facility

Our bodies are home to a microbiome of good bacteria that can help support daily bodily functions. California Gold Nutrition Probiotics contains 10 different strains of these good bacteria, which can help support digestive and immune health.*

Benefits of Taking Probiotic Supplements

Though our bodies have naturally-occurring good bacteria, sometimes our natural microbiome can become unbalanced with too few good bacteria. This can potentially create an environment where bad bacteria can thrive, which may cause digestive issues. Taking a daily probiotic supplement can help to balance the body’s microbiome with enough good bacteria to help support digestive and immune health.*

California Gold Nutrition Probiotics contains a 10 strain blend of probiotics with 25 billion CFU in veggie capsules. When taken as directed, this provides approximately a 2-month supply.

Our products undergo quality testing where they are evaluated by an independent ISO-certified lab using scientifically-validated test methods to ensure authenticity, purity, and potency of ingredients. For added transparency, we make the results available to you in our iTested Verified Reports so you can see for yourself.

Check out the iTested Report for this product to see the analysis.

Suggested use
Take 1 capsule daily, with or without food. Best when taken as directed by a qualified healthcare professional.

Warning
Keep out of reach of children. Consult with a licensed physician, pharmacist, naturopath or other qualified healthcare professional prior to taking dietary supplements. Sealed for your protection. Do not use if seal is missing or broken. Store in a cool, dry place. Protect from heat, light, and moisture. Best kept refrigerated to maintain potency. Natural color variation may occur. Do not eat freshness packet, keep in bottle.

Other Ingredients
Main Ingredients Probiotic Bacteria Blend: Lactobacillus acidophilus, Bifidobacterium lactis, Lactobacillus plantarum, Lactobacillus casei, Lactobacillus rhamnosus, Lactobacillus paracasei, Bifidobacterium breve, Streptococcus thermophilus, Lactobacillus salivarius, Bifidobacterium longum. Other Ingredients Microcrystalline Cellulose, Modified Cellulose (Hypromellose Veggie Capsule), Fructooligosaccharides (FOS), Ascorbyl Palmitate, and Silicon Dioxide (Silica). Not manufactured with milk, eggs, fish, crustacean shellfish, tree nuts, peanuts, wheat, soy, sesame, or gluten. Produced in an FDA-registered, third-party audited, and cGMP-compliant facility that may process other products that contain these allergens or ingredients.",1094.69,Probiotics,4.6,13325,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/lkn/lkn01422/g/113.jpg",https://in.iherb.com/pr/california-gold-nutrition-probiotics-with-lactobacillus-acidophilus-bifidobacterium-lactis-lactobacillus-plantarum-and-lactobacillus-casei-10-strain-blend-25-billion-cfu-60-veggie-capsules/95327
124,"Jarrow Formulas, Jarro-Dophilus EPS, 60 Veggie Caps (5 Billion per Capsule)",Gut Health,Categories > Supplements > Gut Health > Intestinal Formulas,Vegetarian | Enhanced Probiotic System™ | 8 Clinically Studied Strains | Probiotics | Daily Gut Balance | Helps Regulate and Maintain the Health of the Intestinal Tract | 8 Complementary Strains | EnteroGuard® Coating | Non-GMO | Gluten Free | Probiotic Supplement,"• Vegetarian
• Enhanced Probiotic System™
• 8 Clinically Studied Strains
• Probiotics
• Daily Gut Balance
• Helps Regulate and Maintain the Health of the Intestinal Tract
• 8 Complementary Strains
• EnteroGuard® Coating
• Non-GMO
• Gluten Free
• Probiotic Supplement

When it comes to effective probiotics, clinically documented Strains Matter®. As an innovator of consumer probiotics since 1986, Jarrow Formulas® takes great pride in using high-quality and scientifically documented strains that have been developed through years of research and innovation.

8 Clinically Studied Strains in an Enhanced Probiotic System™ (EPS)

Jarro-Dophilus® EPS supports the health of the intestinal tract with a balanced mixture of carefully selected probiotic strains for intestinal and immune health. These strains have been clinically shown to have a positive influence on intestinal and/or immune health.

Our 8 complementary strains of probiotic bacteria are delivered via proprietary enteric coated capsules (EnteroGuard®) that protect it from stomach acid and delivers the potency of friendly bacteria needed to support a healthy gut. Jarro-Dophilus® EPS is blister-packed to protect the capsules from moisture and room temperature stable so it does not require refrigeration.

Live Probiotic Guarantee

When kept under recommended storage conditions, Jarrow® Probiotics are formulated to ensure CFU counts are guaranteed within best used before date.

EnteroGuard® - Protects Probiotics from Stomach Acid

Blister Packed - Protects Probiotic Bacteria from Moisture and Oxygen for Superior Stability

Shelf Life: Stability - Formulated with Strains That are Stable at Room Temperature (77°F)

Suggested use
Adults take 2 capsules once a day with water or juice, preferably on an empty stomach, or as directed by your qualified healthcare professional.

Warning
Consult a healthcare professional before using this product if you are pregnant, nursing, under the age of 18, are taking medication or have a medical condition; if adverse reactions occur, discontinue use. Keep out of the reach of children. Do not use if safety seal or blister is broken, damaged or missing. No Refrigeration Necessary. Does not require refrigeration and can be stored at room temperature in a cool, dry place. Avoid storage at temperature above 77ºF (25℃). Refrigeration, however extends shelf life.

Other Ingredients
Potato starch, capsule (hydroxypropylmethylcellulose, water), enteric coating (hypromellose, ethylcellulose, sodium alginate, medium chain triglycerides [modified coconut oil], oleic acid, stearic acid [vegetable source]), magnesium stearate (vegetable source) and ascorbic acid (antioxidant). Contains: Milk and soy (in trace amounts).",2568.65,Gut Health,4.5,18264,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/jrw/jrw03020/g/112.jpg",https://in.iherb.com/pr/jarrow-formulas-jarro-dophilus-eps-60-veggie-caps-5-billion-per-capsule/124
40594,"Jarrow Formulas, Vegan Jarro-Dophilus Plus FOS, 100 Veggie Capsules",Gut Health,Categories > Supplements > Gut Health > Probiotics,3.4 Billion CFU | 6 Clinically Studied Strains | Probiotic + Prebiotic | Helps Protect and Maintain Gut Health | Gluten Free | Probiotics Supplement | Igen™ Non-GMO Tested | IPRO™,"• 3.4 Billion CFU
• 6 Clinically Studied Strains
• Probiotic + Prebiotic
• Helps Protect and Maintain Gut Health
• Gluten Free
• Probiotics Supplement
• Igen™ Non-GMO Tested
• IPRO™

Jarro-Dophilus® + FOS is a synbiotic with 6 probiotic strains combined with a prebiotic. These strains have been clinically shown to help protect and maintain a balanced intestinal microflora, and/or support the immune system and intestinal health. FOS is a naturally derived prebiotic that supports the growth of beneficial bacteria in the intestinal tract.

Suggested use
Adults take 1 capsule 1-3 times a day during or shortly after a meal or take as directed by your qualified healthcare professional.

Warning
Note: Color of product naturally varies from white to tan. Consult a healthcare professional before using this product if you are pregnant, nursing, under the age of 18, are taking medication or have a medical condition; if adverse reactions occur, discontinue use. Keep out of the reach of children. Keep refrigerated. Do not use if safety seal is damaged or missing.

Other Ingredients
Capsule (hydroxypropylmethylcellulose, water), tapioca starch, maltodextrin, magnesium stearate (vegetable source), ascorbic acid (antioxidant) and calcium phosphate. Contains: Soy (in trace amounts).",1849.24,Gut Health,4.7,509,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/jrw/jrw03001/g/15.jpg",https://in.iherb.com/pr/jarrow-formulas-vegan-jarro-dophilus-plus-fos-100-veggie-capsules/40594
69435,"California Gold Nutrition, LactoBif® 100 Probiotics, 100 Billion CFU, 30 Veggie Capsules",Gut Health,Categories > Supplements > Gut Health > Intestinal Formulas,"California Gold Nutrition LactoBif® 100 Probiotics | Featuring 8 Active and Clinically-Researched Probiotic Strains 1 , Including 5 Lactobacilli and 3 Bifidobacteria | With 100 Billion CFU Per Capsule | Supports Digestive and Gut Health* | Promotes Immune System Health* | Suitable for Vegetarians | Formulated without Dairy, Gluten, GMOs, or Soy | Produced in a 3rd Party Audited cGMP Registered (Certified) Facility | 100% Gold Guarantee","• California Gold Nutrition LactoBif® 100 Probiotics
• Featuring 8 Active and Clinically-Researched Probiotic Strains 1 , Including 5 Lactobacilli and 3 Bifidobacteria
• With 100 Billion CFU Per Capsule
• Supports Digestive and Gut Health*
• Promotes Immune System Health*
• Suitable for Vegetarians
• Formulated without Dairy, Gluten, GMOs, or Soy
• Produced in a 3rd Party Audited cGMP Registered (Certified) Facility
• 100% Gold Guarantee

Your body is full of helpful bacteria that support important functions, but your natural microbiome can become unbalanced, often resulting in unpleasant digestive issues. California Gold Nutrition LactoBif® 100 Probiotics can help keep your gut balanced by introducing more good bacteria into your system, which can help promote digestive and immune health and potentially relieve common digestive symptoms.*

Benefits of Taking Probiotics This proprietary bacteria blend is packed with several beneficial probiotic strains. Our formula includes Lactobacillus acidophilus , one of the best-known probiotics. This strain may help to support the immune system.* In addition, we’ve included another well-known strain, Bifidobacterium longum , which can help promote gut health through the production of lactic and acetic acid.* Our unique blend is designed to help promote digestive health and may help calm common digestive concerns, like upset stomach, gas, constipation, diarrhea, and bloating.

California Gold Nutrition Lactobif® 100 Probiotics contain 8 active probiotic strains 1 , including 5 Lactobacilli and 3 Bifidobacteria. Each veggie capsule contains 100 billion CFU to deliver an effective number of good bacteria to the body.

Suggested use
Take 1 capsule daily, with or without food. Best when taken as directed by a qualified healthcare professional.

Warning
Keep out of reach of children. Consult with a licensed physician, pharmacist, naturopath or other qualified healthcare professional prior to taking dietary supplements. Individually Double-Foil Blister Sealed for quality and your protection. Do not use if blister pack material is punctured or missing. Store in a cool, dry place. Protect from heat, light, and moisture. Potency guaranteed until expiration date when stored in a cool, dry place at 77°F (25°C) or below. Refrigeration is not required, but highly recommended . 1 1 Room Temperature, Shelf-Stable: Best stored at controlled room temperature 20°C to 25°C (68°F to 77°F). Refrigeration is not required, but highly recommended. Extended exposure to higher than recommended storage temperatures may cause product degradation and the reduction of live and active probiotic bacteria. Potency guaranteed until expiration date when stored in a cool, dry place, at 77°F (25°C) or below. 2 In Vitro studies conducted by probiotic raw material supplier.

Other Ingredients
Main Ingredients Probiotic Bacteria Blend Other Ingredients Modified Cellulose (Hypromellose Veggie Capsule), Microcrystalline Cellulose, Magnesium Stearate, and Silicon Dioxide (Silica). Not manufactured with milk, eggs, fish, crustacean shellfish, tree nuts, peanuts, wheat, soy, sesame, or gluten. Produced in an FDA-registered, third-party audited, and cGMP-compliant facility that may process other products that contain these allergens or ingredients.",2918,Gut Health,4.7,24162,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01053/g/169.jpg",https://in.iherb.com/pr/california-gold-nutrition-lactobif-100-probiotics-100-billion-cfu-30-veggie-capsules/69435
99885,"Jarrow Formulas, Jarro-Dophilus Kids, Daily Probiotic + Prebiotic, Raspberry, 1 Billion CFU, 60 Chewable Tablets",Children's Health,Categories > Baby & Kids > Children's Health > Children's Probiotics,Other Natural Flavors | Vegan | 4 Clinically Studied Strains | Supports Intestinal and Immune Health | Sugar Free | Non-GMO | Gluten Free | Probiotics Supplement | IPRO™ | Xylitol Used to Enhance the Taste,"• Other Natural Flavors
• Vegan
• 4 Clinically Studied Strains
• Supports Intestinal and Immune Health
• Sugar Free
• Non-GMO
• Gluten Free
• Probiotics Supplement
• IPRO™
• Xylitol Used to Enhance the Taste

When it comes to effective probiotics, clinically documented Strains Matter®. As an innovator of consumer probiotics since 1986, Jarrow Formulas® takes great pride in using high-quality and scientifically documented strains that have been developed through years of research and innovation.

Each tablet is individually blister packed for enhanced stability and convenience.

Jarro-Dophilus® Kids provides 4 clinically documented strains of beneficial bacteria in a yummy chewable tablet. Beneficial intestinal flora can be negatively affected or reduced by a diet that is low in fiber or high in animal protein, or travel and stress. The result is disruption of the intestinal microflora that can adversely impact digestive function and well-being. The friendly bacteria in Jarro-Dophilus® Kids help maintain a balanced intestinal microflora, and support the immune system.

Live Probiotic Guarantee

When kept under recommended storage conditions, Jarrow® Probiotics are formulated to ensure CFU counts are guaranteed within Best Used Before date.

Protects probiotic bacteria from moisture and oxygen for superior stability.

Suggested use
Take 2 chewable tablets once a day, during or shortly after a meal. Recommended for children age 2 and above under the supervision of a parent or caregiver. May take up to 4 tablets a day or as directed by your qualified healthcare professional. No refrigeration necessary.

Warning
Consult a healthcare professional before using this product if your child has a medical condition; if adverse reactions occur, discontinue use. Keep out of the reach of children. Does not require refrigeration and can be stored at room temperature in a cool, dry place. Avoid storage at temperature above 77ºF (25℃). Refrigeration, however extends shelf life. Store in a cool dry place. Do not use if safety seal or blister is broken, damaged or missing.

Other Ingredients
Xylitol, microcrystalline cellulose, maltodextrin, stearic acid (vegetable source), natural flavor, magnesium stearate (vegetable source), glycerin fatty acid esters (vegetable source), beet powder (color), silicon dioxide, monk fruit extract and citric acid. No wheat, gluten, soybeans, dairy, egg, fish/shellfish, peanuts/tree nuts or sesame. No synthetic dyes, artificial sweeteners or flavors.",1487.12,Children's Health,4.8,780,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/jrw/jrw03069/g/49.jpg",https://in.iherb.com/pr/jarrow-formulas-jarro-dophilus-kids-daily-probiotic-prebiotic-raspberry-1-billion-cfu-60-chewable-tablets/99885
55590,"NOW Foods, Probiotic-10 Powder, 2 oz (57 g)",Gut Health,Categories > Supplements > Gut Health > Probiotics,"10 Probiotic Strains | Healthy Intestinal Flora | Dairy, Soy & Gluten Free | Clinically Validated Strains | Non GMO | A Dietary Supplement | Vegetarian/Vegan | Strain Verified | Probiotics/Enzymes/Digestive | Family Owned Since 1968 | GMP Quality Assured","• 10 Probiotic Strains
• Healthy Intestinal Flora
• Dairy, Soy & Gluten Free
• Clinically Validated Strains
• Non GMO
• A Dietary Supplement
• Vegetarian/Vegan
• Strain Verified
• Probiotics/Enzymes/Digestive
• Family Owned Since 1968
• GMP Quality Assured

NOW Probiotic 10™ offers a balanced spectrum of live organisms consisting of acid-resistant probiotic bacterial strains that are known to naturally colonize the human GI tract. Probiotic bacteria are critical for healthy digestion, help maintain the integrity of the intestinal lining, support proper intestinal motility and participate in the detoxification process. Probiotic-10™ utilizes bacterial strains that have been clinically validated for their support of healthy immune system function.

Probiotic strains in this product have been identity- verified using DNA-fingerprinting technology.

Suggested use
Mix 1/2 teaspoon into 4-6 oz. of water or juice daily. Drink immediately. Best when taken between meals or on an empty stomach. Keep refrigerated to maintain potency.

Warning
Consult physician if pregnant/nursing, taking medication, or have a medical condition. Keep out of reach of children. Do not eat freshness packet enclosed.

Other Ingredients
Organic inulin and FOS (fructooligosaccharides). Not manufactured with wheat, gluten, soy, milk, egg, fish, shellfish or tree nut ingredients. Produced in a GMP facility that processes other ingredients containing these allergens.",2217.09,Gut Health,4.8,106,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/now/now02927/g/17.jpg",https://in.iherb.com/pr/now-foods-probiotic-10-powder-2-oz-57-g/55590
69214,"Doctor's Best, L-Citrulline Powder, 7 oz (200 g)",Amino Acids,Categories > Supplements > Amino Acids > L-Citrulline,"Science-Based Nutrition™ | Supports Circulatory Health | Dietary Supplement | Non-GMO, Gluten Free, Soy Free, Vegan | Plays a crucial role in nitric oxide metabolism | Helps alleviate muscle soreness | Supports vascular health","• Science-Based Nutrition™
• Supports Circulatory Health
• Dietary Supplement
• Non-GMO, Gluten Free, Soy Free, Vegan
• Plays a crucial role in nitric oxide metabolism
• Helps alleviate muscle soreness
• Supports vascular health

At Doctor's Best, we are pumped about maintaining peak performance and unwavering energy. Our L-Citrulline powder is carefully crafted to empower an energetic and vibrant lifestyle.

Suggested use
Adult Use: Mix 1 level scoop with 8 oz. of water or a beverage of your choice before a workout, or as recommended by a nutritionally informed physician.

Warning
Do not use in conjunction with vasodilating medications. The density of powdered ingredients in this product naturally varies from lot to lot. Over time, the powder settles, causing the container to appear less full than when it was first packaged. Store in a cool dry place. Product is sold by weight not by volume.

Other Ingredients
None. No added or artificial flavors, colors, or preservatives.",2022.86,Amino Acids,4.7,2695,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00437/g/113.jpg",https://in.iherb.com/pr/doctor-s-best-l-citrulline-powder-7-oz-200-g/69214
63469,"Doctor's Best, Pure L-Arginine Powder, 10.6 oz (300 g)",Amino Acids,Categories > Supplements > Amino Acids > L-Arginine,Science-Based Nutrition™ | Dietary Supplement | Vegan | Non-GMO / Gluten Free / Soy Free | Helps boost nitric oxide (NO) levels to support overall cardiovascular health. | Helps support immune system. | Helps support athletic endurance. | Helps support recovery from athletic performance.,"• Science-Based Nutrition™
• Dietary Supplement
• Vegan
• Non-GMO / Gluten Free / Soy Free
• Helps boost nitric oxide (NO) levels to support overall cardiovascular health.
• Helps support immune system.
• Helps support athletic endurance.
• Helps support recovery from athletic performance.

Doctor's Best L-Arginine supplies an amino acid vital in the synthesis of nitric oxide, which is an essential compound that helps blood circulation.

Arginine-derived nitric oxide benefits wound healing and overall circulation, and has been shown to help increase mental acuity, immune function, and memory.

Research suggests that L-Arginine supplementation helps increase muscle mass and may also positively be beneficial in improving endurance as it is a precursor to creatine, which helps supply energy to all cells of the body.

Suggested use
Adult Use: Mix 1 level scoop in 8 oz juice or beverage of your choice daily, or as recommended by a nutritionally informed physician.

Warning
Not intended for individuals under the age of 18. Consult your physician if pregnant, nursing, have a medical condition, taking nitrates, warfarin, sildenafil (Viagra), medications for hypertension, diabetes, or other supplement that may lower blood pressure while taking in concomitant with this product. Keep out of reach of children. Note: The density of powdered ingredients in this product naturally varies from lot to lot. Over time, the powder settles, causing the container to appear less full than when it was first packaged. Store in a cool dry place. Product is sold by weight not by volume.

Other Ingredients
None.",1686.54,Amino Acids,4.6,2347,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/drb/drb00374/g/97.jpg",https://in.iherb.com/pr/doctor-s-best-pure-l-arginine-powder-10-6-oz-300-g/63469
71026,"California Gold Nutrition, Sport, Creatine Monohydrate, Unflavored, 1 lb (454 g)",Creatine,Categories > Sports > Creatine > Creatine Monohydrate,5 g Creatine Monohydrate per Serving | Unflavored Powder,"• 5 g Creatine Monohydrate per Serving
• Unflavored Powder

California Gold Nutrition® Sport Creatine powder can be added to Electrolyte/Hydration/Endurance Beverages, Protein Shakes, Meal Replacement Powders, Weight Gainers or Smoothies. Studies suggest that creatine can help to increase lean muscle mass, reduce muscle fatigue and enhance physical or athletic performance.*

Suggested use
Mix 1 level scoop daily with 6-8 ounces of water or the beverage of your choice. For best results, use a blender-type bottle or shaker cup. Best when taken as directed by a qualified healthcare professional or athletic trainer. Note: 5 grams per 1 level scoop is an average. Individual scooping technique may yield slightly less than or slightly more than 5 grams.

Warning
Keep out of the reach of children. Consult with a licensed physician, pharmacist,naturopath or other qualified healthcare professional prior to taking dietary supplements. Sealed for your protection. Do not use if seal is missing or broken. Store in a cool, dry place. Protect from heat, light, and moisture. THIS PRODUCT IS PACKAGED AND SOLD BY WEIGHT, NOT BY VOLUME. SETTLING OF CONTENTS OCCURS OVER TIME. CONTAINS A FOOD-GRADE MOISTURE ABSORBER TO MAINTAIN FRESHNESS. DO NOT EAT.

Other Ingredients
Main Ingredients Creatine Monohydrate Other Ingredients None. Not manufactured with milk, eggs, fish, crustacean shellfish, tree nuts, peanuts, wheat, soy, sesame, or gluten. Produced in an FDA-registered, third-party audited, and cGMP-compliant facility that may process other products that contain these allergens or ingredients.",1823.21,Creatine,4.8,23304,"https://cloudinary.images-iherb.com/image/upload/f_auto,q_auto:eco/images/cgn/cgn01059/g/144.jpg",https://in.iherb.com/pr/california-gold-nutrition-sport-creatine-monohydrate-unflavored-1-lb-454-g/71026
