name,slug,description_text,category_slug,category_name,product_type_slug,product_type_name,collections,attributes,rating,tax_class,weight,price,image_url,brand,capacity,weight_attr
Half Dome 2 Tent with Footprint,half-dome-2-tent-with-footprint,"Half Dome 2 Tent with Footprint — great for Camping, Backpacking.",tent,Tent,tents,Tents,"camping,backpacking",best-for:camping|backpacking;persons:2;brand:half,4.7,standard,2.5,299.0,https://www.rei.com/media/09ae9844-d7cf-4450-8a5c-d49b58e3ac23?size=2000,half,,
Radiant 20 Sleeping Bag,radiant-20-sleeping-bag,"Radiant 20 Sleeping Bag — great for Camping, Backpacking.",sleeping-gear,Sleeping Gear,sleeping-bags,Sleeping Bags,"camping,backpacking",best-for:camping|backpacking;temp-rating:20;brand:radiant,4.7,standard,1.2,199.0,https://www.rei.com/media/e869f452-fda8-41a2-9451-9f876f1c379c?size=2000,radiant,,
Atmos AG 50 Pack - Men's,atmos-ag-50-pack-men-s,"Atmos AG 50 Pack - Men's — great for Camping, Backpacking.",backpacks,Backpacks,backpacks,Backpacks,"camping,backpacking",best-for:camping|backpacking;gender:mens;brand:atmos;capacity:50-person,4.6,standard,1.5,315.0,https://www.rei.com/media/f0c2dba1-486b-4cae-b140-345b0a5a2519?size=2000,atmos,50-person,
Flash 1.0 L Fast Boil System,flash-1-0-l-fast-boil-system,"Flash 1.0 L Fast Boil System — great for Camping, Backpacking.",camp-kitchen,Camp Kitchen,camp-kitchen,Camp Kitchen,"camping,backpacking",best-for:camping|backpacking;volume-l:1.0;brand:flash;capacity:0l,4.9,standard,0.8,97.39,https://www.rei.com/media/9686371a-4647-401e-b2ea-c14b4f492042?size=2000,flash,0l,
Xcursion 1-Burner Butane Grill,xcursion-1-burner-butane-grill,Xcursion 1-Burner Butane Grill — great for Camping.,camp-kitchen,Camp Kitchen,camp-kitchen,Camp Kitchen,camping,best-for:camping;burners:1;brand:xcursion,0.0,standard,0.8,150.0,https://www.rei.com/media/5595fe2a-3ff1-4e3e-ac1b-cee6ff6efe8f?size=2000,xcursion,,
Wide-Mouth Vacuum Water Bottle with Flex Straw Cap - 32 fl. oz.,wide-mouth-vacuum-water-bottle-with-flex-straw-cap-32-fl-oz,"Wide-Mouth Vacuum Water Bottle with Flex Straw Cap - 32 fl. oz. — great for Camping, Multisport.",camp-hydration,Camp Hydration,camp-hydration,Camp Hydration,"camping,multisport",best-for:camping|multisport;brand:wide-mouth,4.4,standard,1.0,44.95,https://www.rei.com/media/78fa8347-44b4-4656-a0d2-00d1cf266872?size=2000,wide-mouth,,
Rambler Tumbler with MagSlider Lid - 20 fl. oz.,rambler-tumbler-with-magslider-lid-20-fl-oz,"Rambler Tumbler with MagSlider Lid - 20 fl. oz. — great for Camping, Camping

Casual.",camp-hydration,Camp Hydration,camp-hydration,Camp Hydration,"camping,camping-casual",best-for:camping|camping-casual;brand:rambler,4.7,standard,1.0,35.0,https://www.rei.com/media/51cb0e1d-d332-45bd-9d96-b462fc6a6f9b?size=2000,rambler,,
Trailhead Camp Chair,trailhead-camp-chair,Trailhead Camp Chair — great for Camping.,camp-furniture,Camp Furniture,camp-furniture,Camp Furniture,camping,best-for:camping;brand:trailhead,4.7,standard,1.0,300.0,https://www.rei.com/media/6bbbfeba-eb34-44d3-98ed-17883e983183?size=2000,trailhead,,
Campwell Folding Cot,campwell-folding-cot,Campwell Folding Cot — great for Camping.,camp-furniture,Camp Furniture,camp-furniture,Camp Furniture,camping,best-for:camping;brand:campwell,4.3,standard,1.0,99.95,https://www.rei.com/media/1df33adf-6c4b-4659-94e1-fce68d89b937?size=2000,campwell,,
Trail Hound 30 ft. Camping Light,trail-hound-30-ft-camping-light,Trail Hound 30 ft. Camping Light — great for Camping.,lighting,Lighting,lighting,Lighting,camping,best-for:camping;brand:trail,3.5,standard,1.0,24.95,https://www.rei.com/media/0d9b3e56-8005-4d4d-aeac-63f997c0dd62?size=2000,trail,,
Solar String Area Light with Phone Charger,solar-string-area-light-with-phone-charger,"Solar String Area Light with Phone Charger — great for Camping, Casual.",lighting,Lighting,lighting,Lighting,"camping,casual",best-for:camping|casual;brand:solar,4.8,standard,1.0,54.95,https://www.rei.com/media/806dad12-be78-49c6-bdcd-aa3c21e5b812?size=2000,solar,,
Zoom Tube 8 x 32 Monocular Telescope,zoom-tube-8-x-32-monocular-telescope,"Zoom Tube 8 x 32 Monocular Telescope — great for Camping, Wildlife Viewing camping.",gadgets-and-gears,Gadgets and Gears,gadgets-and-gears,Gadgets And Gears,"camping,wildlife-viewing-camping",best-for:camping|wildlife-viewing-camping;brand:zoom,4.5,standard,1.0,75.0,https://www.rei.com/media/8cccf1b8-0320-4bba-950c-8ba4a799a3ed?size=2000,zoom,,
Nocs Provisions x Bird Collective Pro Issue 10 x 42 Binoculars,nocs-provisions-x-bird-collective-pro-issue-10-x-42-binoculars,"Nocs Provisions x Bird Collective Pro Issue 10 x 42 Binoculars — great for Camping, Wildlife Viewing
Birding.",gadgets-and-gears,Gadgets and Gears,gadgets-and-gears,Gadgets And Gears,"camping,wildlife-viewing-birding",best-for:camping|wildlife-viewing-birding;brand:nocs,0.0,standard,1.0,295.0,https://www.rei.com/media/a5517f04-fe3e-4b88-b5f3-f37ed9fd66b2?size=2000,nocs,,
Sahara Shade Hoodie - Men's,sahara-shade-hoodie-men-s,"Sahara Shade Hoodie - Men's — great for camping, Watersports Hiking.",hiking-clothing,Hiking Clothing,hiking-clothing,Hiking Clothing,"camping,watersports-hiking",best-for:camping|watersports-hiking;gender:mens;brand:sahara,4.6,standard,1.0,49.95,https://www.rei.com/media/c6f28ef0-6894-4ca3-8ebf-9ac3164adec9?size=2000,sahara,,
Sahara Convertible Pants - Men's,sahara-convertible-pants-men-s,"Sahara Convertible Pants - Men's — great for Camping, Hiking.",hiking-clothing,Hiking Clothing,hiking-clothing,Hiking Clothing,"camping,hiking",best-for:camping|hiking;gender:mens;brand:sahara,4.2,standard,1.0,89.95,https://www.rei.com/media/84ccd05f-22b3-4c37-bc1f-e19084673403?size=2000,sahara,,
Moab Speed 2 Mid GTX Hiking Boots - Men's,moab-speed-2-mid-gtx-hiking-boots-men-s,"Moab Speed 2 Mid GTX Hiking Boots - Men's — great for Camping, Hiking.",hiking-footwear,Hiking Footwear,hiking-footwear,Hiking Footwear,"camping,hiking",best-for:camping|hiking;gender:mens;brand:moab,4.7,standard,1.0,180.0,https://www.rei.com/media/639e5514-abf5-4d94-986a-5a791cf9f20b?size=2000,moab,,
Renegade Evo GTX Mid Hiking Boots - Men's,renegade-evo-gtx-mid-hiking-boots-men-s,"Renegade Evo GTX Mid Hiking Boots - Men's — great for Camping, Hiking.",hiking-footwear,Hiking Footwear,hiking-footwear,Hiking Footwear,"camping,hiking",best-for:camping|hiking;gender:mens;brand:renegade,4.0,standard,1.0,265.0,https://www.rei.com/media/7033f0f1-706e-4010-9fb4-52c6488d1f30?size=2000,renegade,,
inReach Mini 2,inreach-mini-2,"inReach Mini 2 — great for Camping, Multisport Emergency Preparedness.",health-and-safety,Health and Safety,health-and-safety,Health And Safety,"camping,multisport-emergency-preparedness",best-for:camping|multisport-emergency-preparedness,4.4,standard,1.0,400.0,https://www.rei.com/media/186f6c7b-03e1-41f0-ba4b-06a63fe894ec?size=2000,,,
