id,name,category,breadcrumbs,short_description,description,price,best_for,review_score,review_count,image_url,url,embedding,,,,,,,,,,,,
243702, Half Dome 2 Tent with Footprint,Tent,Camping and Hiking / Tents / Backpacking Tents,"An REI member–tested icon, the REI Co-op Half Dome 2-person tent keeps backpacking trips comfortable. Its thoughtful design, easy setup and protective rainfly are built on 45+ years of member input.","Location Image of color Stone Green
Features

    Extra-strong, shockcorded aluminum pole structure and full-coverage fly provide protection from rain, wind and sun
    Updated pole structure provides increased shoulder and head room around the perimeter; generous interior dimensions provide room to relax
    Setup is easy with color-coded poles, clear instructions and an updated hub design
    Our HubCheck™ technology features 4 small windows in the pole hub, allowing you to verify tent poles are fully seated and secured for the perfect setup
    2-person size fits up to 2 adults
    2 large, vertical, D-shape doors make entry and exit easy and help keep the interior dry; the doors can also be rolled up and secured
    Internal pockets and ample hang loops help organize the interior
    Mesh in upper portion of canopy improves ventilation and lets you watch the night sky
    Solid sidewalls have an increased height from previous version to provide more privacy, reduce drafts, and better protect against blowing dust and sand
    Updated fly material is more durable than the previous version; fly is also patterned to be closer to the ground for greater protection
    Fly can be rolled back for half coverage to maximize views and airflow—and it can be rolled down quickly if a storm blows in
    Fly zippers and venting port let you manage airflow and condensation; straight zipper on fly helps keep the tent dry when you enter
    2 vestibules give you plenty of gear storage outside the doors when the fly is on
    Nonfluorinated durable water repellent (DWR) on rainfly, floor and canopy helps moisture bead up on the surface
    Tent and fly are fully seam-sealed to ensure the interior stays dry
    Included top-loading storage bag makes it easy to put the tent away
    Included matching footprint helps protect the tent floor from wear and tear
    Footprint is made with 75-denier polyester taffeta with polyurethane coating and a nonfluorinated DWR that helps moisture bead up on the surface
    Package includes tent body, rainfly, footprint, guylines with tighteners, pole-repair tube, pole bag, 10 stakes, stake bag and storage bag
    Packaged weight includes all components, including the footprint
    Made with nylon mesh that is solution-dyed, which supports reduced water and energy use compared with a conventional dyeing process
    REI is Climate Neutral Certified; as we work to actively reduce our footprint, we measure annual carbon emissions and purchase an equivalent amount of verified carbon credits",299,"Camping, Backpacking",4.7,10,https://www.rei.com/media/09ae9844-d7cf-4450-8a5c-d49b58e3ac23?size=2000,https://www.rei.com/product/243702/rei-co-op-half-dome-2-tent-with-footprint,,,,,,,,,,,,,
245179, Radiant 20 Sleeping Bag,Sleeping Gear,Camping and Hiking/Sleeping Gear/Sleeping Bags/Backpacking Sleeping Bags,"Cool-weather backpacking? The REI Co-op Radiant 20 sleeping bag has zonal insulation to keep you warm, plus ample space for toss-and-turn comfort. Nine different sizes help you find the perfect fit.","Features

    Inclusive sizing lets you find your best fit based on body shape and sleeping preferences
    Semifitted shape provides the roomiest fit of our backpacking bags, with extra knee room to accommodate a variety of sleeping positions
    600-fill-power down provides excellent loft, lightweight warmth and compresses small
    Strategic zonal placement of synthetic insulation provides additional protection against tent wall dampness
    Nonfluorinated durable water repellent (DWR) finish on the shell and lining helps moisture bead up on the surface
    Contoured hood pattern fits more naturally to your head and accommodates most backpacking pillows
    Draft tube, draft color and face muffler keep warmth in and cold out
    Trapezoidal footbox provides foot comfort
    Zipper cover and internal antisnag strip combine for easy zipping
    Differentiated drawcords let you adjust hood and neck easily in the dark
    Interior stash pocket for storing small, quick-access items
    Includes a nylon stuff sack for packing and a roomy mesh bag for breathable storage
    Hand-wash or machine wash warm, gentle cycle in front-load washer only; do not bleach; rinse thoroughly; do not wring; air dry or tumble dry low; do not iron or dry clean
    This product contains RDS-certified down certified by Bureau Veritas TE-00104632
    The purchase of Responsible Down Standard (RDS) certified products demonstrates demand for animal welfare practices in the down and feather supply chain
    Contains materials that meet the bluesign® criteria
    REI is Climate Neutral Certified; as we work to actively reduce our footprint, we measure annual carbon emissions and purchase an equivalent amount of verified carbon credits

Imported.
Temperature ratings are intended as a guideline to help you compare products, rather than a guarantee of warmth, since many different factors contribute to your comfort while you sleep. Our backpacking bags are rated for temperature according to an independent testing protocol: International Organization for Standardization (ISO) 23537. Testing is based on a person wearing one base layer and a pair of socks, sleeping on an insulated surface with a minimum R-value of 5.38.

Each bag then gets 2 ratings: the Comfort rating is the lowest temperature at which the bag will keep the average ""cold sleeper"" comfortable, and the Lower Limit rating is the lowest temperature at which the bag will keep the average ""warm sleeper"" comfortable. For REI Co-op brand nongendered sleeping bags, we provide an overall temperature rating that falls between the Comfort and Lower Limit ratings.",199,"Camping, Backpacking",4.7,10,https://www.rei.com/media/e869f452-fda8-41a2-9451-9f876f1c379c?size=2000,https://www.rei.com/product/245179/rei-co-op-radiant-20-sleeping-bag,,,,,,,,,,,,,
201301, Atmos AG 50 Pack - Men's,Backpacks,Camping and Hiking/Hiking Backpacks/Backpacking Packs,"How much weight did you really pack? You might forget with the men's Osprey Atmos AG 50 pack. Built for weekend trips, it delivers comfort and ventilation with 3D-suspended mesh.","Features

    Fabric is made with 100% recycled materials
    PFC/PFAS-free durable water repellent (DWR) finish helps moisture bead up on the surface
    AntiGravity suspension delivers an incredible fit that seamlessly envelops your back and hips in 3D-suspended mesh
    Adjustable shoulder harness, straps and hipbelt let you get the perfect fit
    Stow-on-the-Go trekking pole attachment lets you quickly stow your poles whenever you need your hands free; sternum strap features an integrated safety whistle
    Internal hydration sleeve with center-back hose exit port stores your water reservoir (reservoir not included)
    Removable internal sleeping bag divider helps you organize your pack
    Floating top lid with lash points can be removed
    2 tall, dual-access stretch-mesh side pockets let you quickly grab your water bottles
    Dual upper and lower side compression straps tighten your load to keep it close to your body and cinch up extra volume
    Removable straps on the bottom of the pack let you attach an oversize sleeping pad (sleeping pad not included)
    Dual ice axe loops with upper compression strap capture
    Included raincover is made with PFC/PFAS-free DWR and bluesign®-approved materials",315,"Camping, Backpacking",4.6,35,https://www.rei.com/media/f0c2dba1-486b-4cae-b140-345b0a5a2519?size=2000,https://www.rei.com/product/201301/osprey-atmos-ag-50-pack-mens,,,,,,,,,,,,,
247699,Flash 1.0 L Fast Boil System,Camp Kitchen,Camping and Hiking / Tents / Backpacking Tents,"With turn-and-click ignition and a color-changing heat indicator, the Jetboil Flash 1.0 L Fast Boil cooking system is easier to use than ever. Boil 2 cups of water in 120 sec. for coffee or hot meals.","Boil 0.5 liter of water in a lightning-fast 120 seconds to enjoy your morning cup of coffee or dehydrated meal with less waiting
1-liter FluxRing cooking cup with insulating cozy makes boiling water—and keeping it hot—a breeze
By increasing the surface area of the bottom of the cup, FluxRing technology allows Flash to heat with extremely high efficiency and consume less fuel
Start heating instantly with the turn-and-click igniter, just like your home stove
Verify that the water's ready with the thermochromatic heat indicator
Improved pot-to-burner connection with 3 locking points and visual indicators
Colorful grip zone provides easy and intuitive handling
Bottom cover doubles as a measuring cup and bowl so you can pack less and still enjoy great meals on the trail
All Flash components—and a 100 g fuel canister (not included)—pack neatly into the cooking cup, saving pack space and keeping your gear organized
Compatible with the Jetboil Silicone Coffee Press, Hanging Kit 2.0 and Pot Support 2.0 (accessories not included)
Pot Support 2.0 (not included) allows additional cookware to be used, like the Summit Skillet and 1.5 L Ceramic Cook Pot (additional cookware not included)
Fuel not included",97.39,"Camping, Backpacking",4.9,19,https://www.rei.com/media/9686371a-4647-401e-b2ea-c14b4f492042?size=2000,https://www.rei.com/product/247699/jetboil-flash-10-l-fast-boil-system,,,,,,,,,,,,,
242609,Xcursion 1-Burner Butane Grill,Camp Kitchen,Camping and Hiking/Camp Kitchen/Stoves and Grills/Camp Grills and Fire Pits/Gas Grills,"Five-star outdoor meals, 1 mighty burner. The Coleman Xcursion 1-burner butane grill brings the heat without extra weight. It's great for pregaming at the stadium or cooking at the campground.","Single adjustable burner lets you precisely control 7,650 BTUs of heat so you can dial in the right temperature for any meal
Ceramic-coated cast-aluminum surface offers 177 sq. in. of cooking space
Nonstick grill and Easy Grip 25 oz. grease tray are both removable for quick, easy cleanup
Instastart™ ignition for automatic, matchless lighting
Over 1 hr. of burn time on high on one 8.8 oz. butane gas cylinder (fuel not included)
Internal fuel compartment includes auto safety shutoff and ejection device
Nonslip adjustable feet provide a stable base for easy stirring on uneven surfaces
Lightweight and compact; included carry case makes it easy to bring along to the campsite, tailgate parties, picnics and more
Fuel not included",150,Camping,0,0,https://www.rei.com/media/5595fe2a-3ff1-4e3e-ac1b-cee6ff6efe8f?size=2000,https://www.rei.com/product/242609/coleman-xcursion-1-burner-butane-grill,,,,,,,,,,,,,
220789,Wide-Mouth Vacuum Water Bottle with Flex Straw Cap - 32 fl. oz.,Camp Hydration,Camping and Hiking/Camp Hydration/Water Bottles,Stay refreshed and hydrated wherever you wander with a 32 fl. oz. Hydro Flask Wide-Mouth insulated water bottle equipped with a leakproof Flex Straw cap and 24-hour insulation.,"TempShield® double-wall vacuum insulation keeps beverages cold up to 24 hrs. (or hot for up to 12 hrs., though the Flex Straw Cap is not intended for use with hot liquids)
    Flex Straw Cap makes it is easy to sip on the move and is leakproof when closed for worry-free transport
    Durable 18/8 pro-grade stainless-steel construction ensures pure taste and no flavor transfer
    Color Last™ powder coat is dishwasher safe to maintain a nonslip grip and lasting color
    BPA-free
    Fits most backcountry water filters
    Not designed for use on a stove, in a microwave or in a freezer
    Hydro Flask recommends keeping hot liquids out of the reach of children
    Note from Hydro Flask on patterned colorways: Due to the unique pattern, each bottle color and style may vary slightly

Imported.",44.95,"Camping, Multisport",4.4,1826,https://www.rei.com/media/78fa8347-44b4-4656-a0d2-00d1cf266872?size=2000,https://www.rei.com/product/220789/hydro-flask-wide-mouth-vacuum-water-bottle-with-flex-straw-cap-32-fl-oz,,,,,,,,,,,,,
127086,Rambler Tumbler with MagSlider Lid - 20 fl. oz.,Camp Hydration,Camping and Hiking/Camp Hydration/Tumblers,"Now with a splashproof and spill-resistant YETI MagSlider™ lid that's easy to clean, the 20 fl. oz. YETI Rambler Tumbler keeps your beverage hot or cold for your sipping pleasure.","MagSlider lid uses magnets for smooth opening and closing, and has a crystal-clear lid so you can always see if you're in need of a top off; magnet pops off for easy cleaning
    Rambler Tumbler keeps ice frozen twice as long as a plastic tumbler, and it works just as well for hot beverages
    Made with high-quality 18/8 stainless steel with a DuraCoat® finish, and uses double-wall vacuum insulation to keep your drinks hot or cold for hours to come
    DuraCoat color won't fade, crack or peel, and is food-safe
    Shatterproof, BPA-free and dishwasher-safe
    Tapered design fits in most car cup holders",35,"Camping, Camping

Casual",4.7,49855,https://www.rei.com/media/51cb0e1d-d332-45bd-9d96-b462fc6a6f9b?size=2000,https://www.rei.com/product/127086/yeti-rambler-tumbler-with-magslider-lid-20-fl-oz,,,,,,,,,,,,,
174101, Trailhead Camp Chair,Camp Furniture,Camping and Hiking/Camp Furniture/Camp Chairs,"Designed for durability and amazing comfort, the YETI Trailhead Camp Chair has hands-free portability and a lightweight folding frame that make it easy to pack up, carry and load in your vehicle.","Supportive, UV-rated FlexGrid™ fabric is comfortable when you're taking a load off
PackAway frame with Lockdown™ comfort and Groundgrip™ feet
Adjustable cup holder
Comes with a handy carry bag",300,Camping,4.7,819,https://www.rei.com/media/6bbbfeba-eb34-44d3-98ed-17883e983183?size=2000,https://www.rei.com/product/174101/yeti-trailhead-camp-chair,,,,,,,,,,,,,
229078,Campwell Folding Cot,Camp Furniture,Camping and Hiking/Camp Furniture/Cots,"Enjoy a good night's sleep under the stars on the REI Co-op Campwell folding cot. This update to a camp classic has swiveling feet, recycled fabric and a nonfluorinated durable water repellent (DWR).","Steel frame and recycled ripstop polyester fabric are light yet strong
Top fabric has a nonfluorinated DWR to help moisture bead up on the surface
Wide, swiveling feet distribute weight to help protect tent floors
Cord loops on the sides match up with our Campwell sleeping pad (not included) for an anti-slip sleep experience
Maximum weight capacity of 300 lbs.; bed height is 18 in.
Fits into a compact, tube-shaped carry bag for ease of storage and transport
Contains materials that meet the bluesign® criteria
REI is Climate Neutral Certified; as we work to actively reduce our footprint, we measure annual carbon emissions and purchase an equivalent amount of verified carbon credits",99.95,Camping,4.3,55,https://www.rei.com/media/1df33adf-6c4b-4659-94e1-fce68d89b937?size=2000,https://www.rei.com/product/229078/rei-co-op-campwell-folding-cot,,,,,,,,,,,,,
159147,Trail Hound 30 ft. Camping Light,Lighting,Camping and Hiking/Camp Lighting/Lanterns/Electric Lanterns,"Providing long, bright, energy-efficient mood lighting for the great outdoors, the dimmable REVEL GEAR Trail Hound 30 ft. camping light is a go-to choice for making memories under the stars.","Beautifully illuminate your basecamp with 100 high-efficiency LEDs on a 30 ft. strand
Plug into any USB outlet or battery and experience the night without a headlamp (power source not included)
350 lumens of adjustable light with 8 brightness settings allow for energy conservation and versatility
6 different modes, including: solid light, fade in/out, strobe, flash and a fire-crackle setting
Low power draw (less than 1–5W) for energy efficiency
Compatible with any 5V USB power source
Light, packable design weighs only 1.6 oz. and fits in your pocket
IP65 rated to withstand rain and dust
REVEL GEAR supports renewable energy and lighting projects for those in need",24.95,Camping,3.5,239,https://www.rei.com/media/0d9b3e56-8005-4d4d-aeac-63f997c0dd62?size=2000,https://www.rei.com/product/159147/revel-gear-trail-hound-30-ft-camping-light,,,,,,,,,,,,,
